Name: usd2brl
Data Provider: www.debit.com.br
Url: www.debit.com.br/consulta20.php?indexador=12&imes=01&iano=2000&fmes=12&fano=2014
Description: Dollar to BRL exchange Rate
time,rate
2002-01-19,2.3639999999999999
2002-01-20,2.3639999999999999
2002-01-21,2.3719999999999999
2002-01-21,2.3719999999999999
2002-01-22,2.3780000000000001
2002-01-23,2.383
2002-01-24,2.3959999999999999
2002-01-25,2.411
2002-01-26,2.411
2002-01-27,2.411
2002-01-28,2.4220000000000002
2002-01-29,2.4359999999999999
2002-01-30,2.4300000000000002
2002-01-31,2.4119999999999999
2002-02-01,2.4079999999999999
2002-02-02,2.4079999999999999
2002-02-03,2.4079999999999999
2002-02-04,2.4239999999999999
2002-02-05,2.4209999999999998
2002-02-06,2.4340000000000002
2002-02-07,2.4609999999999999
2002-02-08,2.4580000000000002
2002-02-09,2.4580000000000002
2002-02-10,2.4580000000000002
2002-02-11,2.4580000000000002
2002-02-12,2.4580000000000002
2002-02-13,2.4089999999999998
2002-02-14,2.4319999999999999
2002-02-15,2.4260000000000002
2002-02-16,2.4260000000000002
2002-02-17,2.4260000000000002
2002-02-18,2.4329999999999998
2002-02-19,2.4199999999999999
2002-02-20,2.4180000000000001
2002-02-21,2.4199999999999999
2002-02-22,2.4220000000000002
2002-02-23,2.4220000000000002
2002-02-24,2.4220000000000002
2002-02-24,2.4220000000000002
2002-02-25,2.3940000000000001
2002-02-26,2.3929999999999998
2002-02-27,2.3559999999999999
2002-02-28,2.363
2002-03-01,2.343
2002-03-02,2.343
2002-03-03,2.343
2002-03-04,2.3239999999999998
2002-03-05,2.3300000000000001
2002-03-06,2.3660000000000001
2002-03-07,2.371
2002-03-08,2.3490000000000002
2002-03-09,2.3490000000000002
2002-03-10,2.3490000000000002
2002-03-11,2.3559999999999999
2002-03-12,2.3290000000000002
2002-03-13,2.347
2002-03-14,2.343
2002-03-15,2.3450000000000002
2002-03-16,2.3450000000000002
2002-03-17,2.3450000000000002
2002-03-18,2.3399999999999999
2002-03-19,2.3410000000000002
2002-03-20,2.343
2002-03-21,2.3420000000000001
2002-03-22,2.3620000000000001
2002-03-23,2.3620000000000001
2002-03-24,2.3620000000000001
2002-03-25,2.363
2002-03-26,2.3439999999999999
2002-03-27,2.3220000000000001
2002-03-28,2.323
2002-03-29,2.323
2002-03-30,2.323
2002-03-30,2.323
2002-03-31,2.323
2002-04-01,2.302
2002-04-02,2.2970000000000002
2002-04-03,2.3090000000000002
2002-04-04,2.2999999999999998
2002-04-05,2.2770000000000001
2002-04-06,2.2770000000000001
2002-04-07,2.2770000000000001
2002-04-08,2.2909999999999999
2002-04-09,2.278
2002-04-10,2.2650000000000001
2002-04-11,2.282
2002-04-12,2.2919999999999998
2002-04-13,2.2919999999999998
2002-04-14,2.2919999999999998
2002-04-15,2.3199999999999998
2002-04-16,2.319
2002-04-17,2.3220000000000001
2002-04-18,2.3260000000000001
2002-04-19,2.331
2002-04-20,2.331
2002-04-21,2.331
2002-04-22,2.3399999999999999
2002-04-23,2.359
2002-04-24,2.3559999999999999
2002-04-25,2.3620000000000001
2002-04-26,2.3700000000000001
2002-04-27,2.3700000000000001
2002-04-28,2.3700000000000001
2002-04-29,2.3620000000000001
2002-04-30,2.3599999999999999
2002-05-01,2.3599999999999999
2002-05-02,2.3940000000000001
2002-05-03,2.407
2002-05-03,2.407
2002-05-04,2.407
2002-05-05,2.407
2002-05-06,2.419
2002-05-07,2.4329999999999998
2002-05-08,2.4359999999999999
2002-05-09,2.4710000000000001
2002-05-10,2.4649999999999999
2002-05-11,2.4649999999999999
2002-05-12,2.4649999999999999
2002-05-13,2.5190000000000001
2002-05-14,2.5070000000000001
2002-05-15,2.504
2002-05-16,2.4649999999999999
2002-05-17,2.4740000000000002
2002-05-18,2.4740000000000002
2002-05-19,2.4740000000000002
2002-05-20,2.4820000000000002
2002-05-21,2.4809999999999999
2002-05-22,2.5230000000000001
2002-05-23,2.5230000000000001
2002-05-24,2.5270000000000001
2002-05-25,2.5270000000000001
2002-05-26,2.5270000000000001
2002-05-27,2.524
2002-05-28,2.5259999999999998
2002-05-29,2.512
2002-05-30,2.512
2002-05-31,2.5139999999999998
2002-06-01,2.5139999999999998
2002-06-02,2.5139999999999998
2002-06-03,2.5339999999999998
2002-06-04,2.5950000000000002
2002-06-05,2.6070000000000002
2002-06-06,2.6579999999999999
2002-06-06,2.6579999999999999
2002-06-07,2.653
2002-06-08,2.653
2002-06-09,2.653
2002-06-10,2.6339999999999999
2002-06-11,2.71
2002-06-12,2.7930000000000001
2002-06-13,2.7080000000000002
2002-06-14,2.714
2002-06-15,2.714
2002-06-16,2.714
2002-06-17,2.661
2002-06-18,2.7120000000000002
2002-06-19,2.7050000000000001
2002-06-20,2.7650000000000001
2002-06-21,2.835
2002-06-22,2.835
2002-06-23,2.835
2002-06-24,2.778
2002-06-25,2.823
2002-06-26,2.8799999999999999
2002-06-27,2.8519999999999999
2002-06-28,2.8180000000000001
2002-06-29,2.8180000000000001
2002-06-30,2.8180000000000001
2002-07-01,2.8940000000000001
2002-07-02,2.8879999999999999
2002-07-03,2.8599999999999999
2002-07-04,2.8540000000000001
2002-07-05,2.8799999999999999
2002-07-06,2.8799999999999999
2002-07-07,2.8799999999999999
2002-07-08,2.859
2002-07-09,2.859
2002-07-10,2.8490000000000002
2002-07-10,2.8490000000000002
2002-07-11,2.7919999999999998
2002-07-12,2.8090000000000002
2002-07-13,2.8090000000000002
2002-07-14,2.8090000000000002
2002-07-15,2.8500000000000001
2002-07-16,2.8700000000000001
2002-07-17,2.895
